Need,Count
Consumer Fraud Reporting,40
Ex-Offender Halfway Houses,40
Summer Camps,40
Wheelchairs/Wheeled Mobility,40
Flu Vaccines,39
Senior Centers,39
AARP Tax Aide Program Sites,38
Comprehensive Outpatient Drug Use Disorder Treatment,38
Moving Expense Assistance,38
Personal Alarm Systems,38
Taxpayer Information Lines,38
Donation Pickups,37
Food Pantries * Older Adults,37
Notary Public Services,37
First Time Buyer Home Loans,36
Hotels/Motels,36
Inpatient Alcohol Use Disorder Treatment Facilities,36
Legal Information Lines,35
Suicide Prevention Hotlines,35
Adult Protective Services,34
Alcohol Detoxification,34
Driver License Fee Payment Assistance,34
Health Insurance Premium Assistance,34
Police Reports,34
State Medicaid Managed Care Enrollment Programs,34
Adult Residential Care Homes,33
Neuter/Spay Services,33
Transitional Housing/Shelter * Single Mothers,33
Automotive Repair and Maintenance,32
SSI Applications,32
State Government Complaints/Ombudsman Offices,32
Adolescent/Youth Counseling,31
Anger Management,31
Computer and Related Technology Classes,31
EBT Card Services,31
Home Health Aide Services,31
TANF Applications,31
Civil State Trial Courts,30
Emergency Road Service,30
Housing Discrimination Assistance,30
Local Bus Transit Services,30
Maternity Homes,30
Ramp Construction Services,30
Sexually Transmitted Disease Screening,30
Sheriff,30
Bathing Facilities,29
Crime Victim Compensation,29
Elder/Dependent Adult Abuse Reporting,29
General Crisis Intervention Hotlines,29
Hearing Aids,29
Older Adults,29
Veteran Benefits Assistance,29
Christmas Baskets,28
Opioid Detoxification,28
Passports,28
Single Mothers,28
Breast Pumps,27
Homeless Women,27
Public Libraries,27
Recreation Centers,27
Volunteer Recruitment/Placement,27
Bedding/Linen,26
Gynecology Services,26
Homeless Men,26
Non-Emergency Crime Reporting,26
Small Claims Courts,26
Active Arrest Warrants,25
Adult Residential Treatment Facilities,25
Animal Shelters,25
Disability Parking Permits,25
Homebuyer/Home Purchase Counseling,25
Psychiatric Hospitals,25
Social Security Retirement Benefits,25
Transit Customer Service Centers,25
Winter Clothing,25
Affordable Care Act Qualified Health Plans,24
Child Guidance,24
Job Readiness,24
Medicare Enrollment,24
Christmas Clearing Bureaus,23
Elderly/Disabled Home Rental Listings,23
Group Residences for Adults With Disabilities,23
Protective/Restraining Orders,23
Psychiatric Disorder Counseling,23
Referral to Physicians Accepting Medicare,23
Semi-Independent Living Residences for Adults With Disabilities,23
Water Service Providers,23
Advocacy * Disabilities Issues,22
Building Code Information,22
Citizenship and Immigration Services Offices,22
Dental Insurance,22
Employment Discrimination Assistance,22
Housekeeping Assistance,22
Immigrants,22
Mammograms,22
Personal Financial Counseling,22
Prescription Drug Discount Cards,22
Smoke Alarms,22
Christmas Meals,21
CPR Instruction,21
Food Handling Permits,21
Medical Information Lines,21
Outpatient Drug Detoxification,21
Personal/Grooming Supplies,21
Public Clinics,21
Respite Care,21
Sports Participation Physical Examinations,21
Transitional Case/Care Managem * Homeless Families,21
Transitional Case/Care Managem * Older Adults,21
Child Support Wage Assignment Assistance,20
Clinical Psychiatric Evaluation,20
Eviction Prevention Legal Assistance,20
Homeless Veterans,20
In Person Crisis Intervention,20
Mobile Veterinary Care,20
Psychiatric Case Management,20
Rabies Vaccinations,20
Social Security Issues,20
Women's Health Centers,20
Child Abuse Hotlines,19
Matricula Consular Cards,19
Mold Abatement,19
Section 8/Rental Assistance Program Rental Listings,19
Adults With Disabilities,18
Birth Control Counseling,18
CHIP Programs,18
Home Nursing,18
Low Income/Subsidized Private  * Older Adults,18
Minimum Wage/Hour Standards,18
Adult Day Program Centers,17
Career Counseling,17
Child Care Provider Licensing,17
Community Web Portals,17
Drug Use Related Hotlines,17
General Property Tax Information,17
Long Term Home Health Care,17
Medical Appointments Transport * Cancer,17
Nursing Facility Referrals,17
Psychiatrist Referrals,17
Traffic/Parking Ticket Information/Advice,17
At Risk Youth,16
Conjoint Counseling,16
Errand Running/Shopping Assistance,16
Federal Health Insurance Marketplace Call Center/Website,16
Food Stamps/SNAP Appeals/Complaints,16
Heaters,16
Homemaker Assistance,16
Incidental Medical Expense Assistance,16
Psychiatric Medication Monitoring,16
Residential Tree Maintenance,16
Residential Tree Removal,16
Veterans,16
Abortion Services,15
Comprehensive Information and Referral,15
Comprehensive Outpatient Alcohol Use Disorder Treatment,15
Dental Care Expense Assistance,15
Drug Use Disorder Support Groups,15
Expectant/New Parent Assistance,15
Immigration Issues,15
Long Distance Bus Services,15
Paternity/Maternity Establishment,15
School Clothing,15
Senior Community Service Employment Programs,15
Tax Forms,15
Will Preparation Assistance,15
211 Administrative Entities,14
Adult Literacy Programs,14
Affordable Care Act Information/Counseling Personnel,14
Better Business Bureaus,14
Certified Application Counselor Programs,14
Day Camps,14
Day Labor,14
Divorce/Custody/Support Issues,14
General Clothing Donation Programs,14
Homelessness Advocacy Groups,14
State Attorneys General,14
Undesignated Home Barrier Removal Services,14
Undesignated Temporary Financial Assistance,14
Air Conditioners,13
Autism,13
Bereavement Counseling,13
Computer Distribution Programs,13
Credit Counseling,13
Disability Rights Groups,13
Electric Service Complaints,13
FEMA Disaster Assistance Online/Tele-Registration,13
General Crime Reporting,13
Government Buildings/Installations,13
Independent Living Communities/Complexes,13
Marriage Counseling,13
Medical Supplies Donation Programs,13
Pap Tests,13
Recycling Centers,13
Ride Sharing Programs,13
Senior Housing Information and Referral,13
Temporary Mailing Address,13
Adult Parole,12
Anger Management * Spouse/Intimate Partner Abuser,12
Animal Adoption,12
Building Code Violations Reporting,12
Camp Referrals,12
Hazardous Materials Collection Sites,12
Homelessness Prevention Programs,12
Independent Living Skills Instruction,12
Labor and Employment Law,12
Legal Representation,12
Mail Order Pharmacies,12
Name Change Assistance,12
Nursing Facility Complaints,12
Pest Information,12
Refugee Resettlement Services,12
Residential Energy/Water Conservation Rebates,12
Sexually Transmitted Disease Treatment,12
Small Kitchen Appliances,12
Tuberculosis Screening,12
Adult Basic Education,11
Adult Residential Facility Complaints,11
Aging and Disability Resource Centers,11
At Risk Families,11
Automobiles,11
Diabetes,11
Kitchenware,11
Labor Issues,11
Medication Disposal,11
Motor Vehicle Titles,11
Pet Food,11
Physician/Surgeon Complaints,11
Property Tax Agencies,11
Sanitary Landfills,11
Shoes,11
Skilled Nursing Facilities,11
Small Business Development,11
Special Education Advocacy,11
Temporary Employment,11
Alcohol Use Related Hotlines,10
Automobile Insurance,10
Barrier Free Home Rental Listings,10
Bipolar Disorder,10
Child Support Petition Filing Offices,10
Children's State/Local Health Insurance Programs,10
CHIP Recipients,10
City Government Information Lines,10
City/Town Council Offices,10
Community Courts,10
Donation Drop Off Points,10
Foster Care/Temporary Shelter for Animals,10
General Crime Victim Assistance,10
Government Subsidized Private Rental Housing Listings,10
Heating Fuel Payment Assistance,10
Immigrant Benefits Assistance,10
In Home Adult Day Programs,10
Major Depression,10
Natural Gas Service Providers,10
Naturalization Support/Legal Services,10
Physician Referral Services,10
Residential Recycling Programs,10
Smoking Cessation,10
Spouse/Intimate Partner Abuse Counseling,10
Subject Tutoring,10
Utility Line Location Information/811 Services,10
Veteran Outpatient Clinics,10
Visual Impairments,10
Voter Registration Drives,10
Absentee Ballots,9
Automobile Donation Programs,9
Blood Banks,9
Citizenship Test Preparation,9
County Clerk of the Courts Offices,9
Dental Schools,9
Domestic Violence Support Groups,9
Ex-Offender Employment Programs,9
Ex-Offender Reentry Programs,9
Fire Stations,9
Grandparents,9
Hospice Facilities,9
Housing Down Payment Loans/Grants,9
Identity Theft Reporting/Recovery Programs,9
Low Income Home Loans,9
Medicaid Appeals/Complaints,9
Mental Health Related Support Groups,9
Psychiatric Emergency Room Care,9
Public Parks,9
Refrigerators,9
Retail Pharmacies,9
Shower/Bath Seats,9
Suicide Counseling,9
Swimming Facilities,9
Toll Road/Bridge Passes,9
Transitional Housing/Shelter * Immigrants,9
Ultrasound Scanning,9
911 Services,8
Abandoned Vehicle Reporting/Removal,8
Acquired Brain Injuries,8
Adult Probation,8
Business Tax Information,8
Case/Care Management Referrals,8
Criminal History Records,8
Diabetes Screening,8
Diapers * Adults,8
Domestic Violence Motel Vouchers,8
Dual Diagnosis,8
Employment Related Fingerprinting,8
Financial Management Workshops,8
Food Donation Programs,8
Food Stamps/SNAP Fraud Reporting,8
General Consumer Complaints,8
Health and Residential Facility Evaluation Information,8
HIV Testing,8
House Moving Assistance,8
Immigrant Visa Application Filing Assistance,8
Language Interpretation,8
Laundry Facilities,8
Social Security Burial Benefits,8
Summer Youth Employment Programs,8
Transitional Case/Care Managem * Homeless Men,8
Walking Aid Donation Programs,8
Automobile Insurance Payment Assistance,7
Bankruptcy Assistance,7
Child Custody/Visitation Petition Filing Offices,7
Civil Rights Issues,7
Comprehensive Outpatient Drug  * At Risk Youth,7
Congregate Meals/Nutrition Sites,7
Crime Victims,7
Criminal Law,7
Developmental Assessment,7
Divorce Records,7
Do Not Call Registries,7
Driving/Accident Records,7
Drug Use Disorder Education/Prevention,7
Education Related Fee Payment Assistance,7
Electric Service Payment Assis * National Guard Personnel,7
Hairdressing/Nail Care,7
Home Rehabilitation Grants,7
Homeless School Transition Programs,7
Immigrant Rights Groups,7
Insulin Injection Supplies,7
Job Search/Placement * Older Adults,7
Job Training Formats,7
Law Libraries,7
Lawyer Complaints,7
Legal Issues,7
Local Business Licenses/Permits,7
Motor Vehicle Inspection Programs,7
Organizational Consultation/Technical Assistance,7
Pregnant Women,7
Public Facility Health Inspection,7
Representative Payee Services,7
Scholarships,7
Single Women,7
Sober Living Homes for People Recovering From a Drug Use Disorder,7
Special Education Assessment,7
Specialized Information and Re * Cancer,7
Street Lights,7
Television Stations/Access Systems,7
Vocational Centers,7
Adoption Legal Services,6
Adult Mentoring Programs,6
Alien Registration Card Issuance/Renewal,6
Attention Deficit/Hyperactivity Disorder,6
Bicycle Donation Programs,6
Breast Cancer,6
Cancer,6
Children's Hospitals,6
County Recorder Offices,6
Criminal Background Check Fee Payment Assistance,6
Dead Animal Pickup,6
Death Certificates,6
Domestic/Family Violence Legal Services,6
Ex-Offenders,6
Extreme Cold Weather Shelters,6
Farmers Markets,6
First Time Homebuyer Tax Credit Information,6
GED/High School Equivalency Test Sites,6
General Bereavement Support Groups,6
General Yard Work,6
Health Facility Licensing,6
Homeless Mentally Ill,6
Homeless Youth,6
Household Goods Donation Programs,6
Housing Search Assistance,6
Infant Care Centers,6
Insurance Complaints,6
Intermediate Care Facilities for Individuals With Developmental Disabilities,6
Kindergartens,6
Life Skills Education,6
Marriage Licenses,6
Meningitis Immunizations,6
Mental Health Issues,6
Mortgage Delinquency and Default Counseling,6
Public Parking,6
Rent Payment Assistance * National Guard Personnel,6
Residential Brush Clearance,6
Resume Preparation Assistance,6
Specialized Information and Re * Older Adults,6
Specialized Information and Re * Pregnant Women,6
Student Loan Forgiveness/Repayment Programs,6
Sweat Equity Programs,6
Transitional Case/Care Managem * Homeless Women,6
Zoning Violations Reporting,6
ADA Implementation Assistance,5
Adult Foster Homes,5
Air Pollution Control,5
Appliance Repair,5
Blindness,5
Children and Youth With Disabilities,5
Children's/Adolescent Residential Treatment Facilities,5
Civil Marriages,5
County Elections Director Offices,5
Court Community Service Sites,5
Court Ordered Parenting Programs,5
Court Records,5
Credit Report Ordering Assistance,5
Cruelty to Animals Investigation,5
Daily Money Management Services,5
Dermatology,5
Dietitian/Nutritionist Referrals,5
Disaster Specific Home Repair,5
Disease/Disability Information,5
Drug/Alcohol Testing,5
Electric Service Maintenance/Repair,5
Employment Related Advocacy Groups,5
Eye Care Expense Assistance,5
Families of Veterans,5
Family and Community Medicine,5
Federal Bureau of Investigation,5
Flood/Siltation Control,5
Foster Grandparent Program,5
Get Out the Vote Drives,5
Guardianship Assistance,5
Home Care/Hospice Associations,5
In Home Attendants for People  * Physical Disabilities,5
Inpatient Rehabilitation,5
Intellectual Disabilities,5
Internet Access/Security,5
Language Translation,5
Liquid Nutrition Supplements,5
Local Transit Passes,5
Long Term Case/Care Management * Attention Deficit/Hyperactivit,5
Long Term Case/Care Management * Developmental Disabilities,5
Long Term Case/Care Management * Mental Health Issues,5
Marshals Offices,5
Mediation * Housing Issues,5
Medical Care Expense Assistanc * Visual Impairments,5
Medicare Card Replacement,5
Missing Persons Location Assistance,5
Occupational/Professional Licensing and Certification,5
Older Adult Social Clubs,5
Pain Management,5
Pediatric Dentistry,5
Perinatal/Postpartum Depression Counseling,5
Physical Therapy,5
Post Disaster Cleanup Crews,5
Post Disaster Crisis Hotlines,5
Post Disaster Housing Databanks/Referrals,5
Pre-Employment Background Checks,5
Private Clinics,5
Relapse Prevention Programs,5
Residential Energy/Water Conservation Systems/Devices,5
Secondary/High Schools,5
Sewer System Maintenance,5
Sexual Assault Counseling,5
Sick Animal Care,5
Sober Living Homes for People Recovering From an Alcohol Use Disorder,5
Specialized Information and Re * Mexican Community,5
Speech Therapy,5
Sports Medicine,5
Student Transportation Services,5
Tax Appeals Filing Assistance,5
Traffic Courts,5
Vaccine Information,5
Veterinary Referral Services,5
Wildlife Rescue/Relocation,5
Abused Adults,4
Abused Children,4
Academic Records,4
Accessibility Related Standards/Legislation Compliance,4
Adult Day Program Complaints,4
Adult/Child Mentoring Programs,4
Advocacy * Mexican Community,4
Advocacy * Tax Issues,4
Aging/Long Term Care Facility Associations,4
Ambulance Services,4
Audiological Evaluations,4
Baggage Check Facilities,4
Blood Tests,4
Boys/Girls Clubs,4
Brain Injury Rehabilitation,4
Childbirth Education,4
Christmas Tree Recycling,4
College/University Admissions,4
Community Disaster Service Centers/Hotlines,4
Comprehensive Immigration/Naturalization Services,4
Comprehensive Outpatient Alcoh * At Risk Youth,4
Constitutional/Civil Rights Groups,4
Consumer Education,4
County Government Information Lines,4
Court Ordered Individuals,4
Criminal State Trial Courts,4
Daily Living Aids,4
Debt Consolidation Services,4
Disaster Victims,4
District Attorney,4
Divorce Petition Filing Offices,4
Domestic Violence Intervention Programs,4
Driving Safety Education,4
Drug Use Disorder Counseling,4
Drug Use Disorder Issues,4
Drug Use Related Recovery Homes/Halfway Houses,4
Drug/Alcohol Use Self Evaluation Tools,4
Early Intervention for Children With Disabilities/Delays,4
Energy Conservation,4
Epilepsy,4
Escort Programs,4
Eye Examinations,4
Families/Friends of Individuals With an Alcohol Use Disorder Support Groups,4
Federal Tax Collection Agencies,4
Food Stamps/SNAP Recipients,4
Foreclosure Prevention Loan Modification/Refinancing Programs,4
Foster Home Placement,4
General Benefits Assistance * Medicare Beneficiaries,4
General Health Education Programs,4
Grocery Ordering/Delivery,4
Health Issues,4
Holiday Donations,4
Home Health Care Complaints,4
Hospital Complaints,4
Identity Theft Victims,4
Job Information * Older Adults,4
Juvenile Detention Facilities,4
Legal Associations,4
Legislators,4
Leukemia,4
Managed Health Care Information,4
Medicaid Card Replacement,4
Medical Information Lines * Cancer,4
Mental Health Related Support  * Families/Friends of Mentally I,4
Mercy Transportation,4
Mobile Health Care,4
Nutrition Education,4
Parenting Skills Classes * Attention Deficit/Hyperactivit,4
Personal Care * Adults With Disabilities * Health Issues,4
Post Traumatic Stress Disorder,4
Pregnancy Counseling,4
Property Tax Exemption Information,4
Property Tax Payment Assistance,4
Refugees/Entrants/Asylees,4
Relief from Removal/Other Immigration Relief,4
Rent Payment Assistance * Veterans With Disabilities,4
Respite Care * Alzheimer's Disease,4
Restaurant Complaints,4
Restaurant/Food Sanitation,4
Social Security Survivors Insurance,4
Specialized Information and Re * Alzheimer's Disease,4
Spouse/Intimate Partner Abuse Prevention,4
State Prisons,4
Swimming/Swimming Lessons,4
Toileting Aids,4
Transitional Case/Care Managem * AIDS/HIV,4
Transitional Case/Care Managem * At Risk for Homelessness,4
Tuberculosis Clinics,4
Unclaimed Property Assistance,4
Underwear/Sleepwear,4
Veteran Burial Benefits,4
Water Service Connection/Repair,4
Weight Related Support Groups,4
Well Baby Care,4
Winter Clothing Donation Programs,4
Work Tools/Equipment,4
Y Facilities,4
Youth Enrichment Programs,4
Abused Women,3
Adjustment of Status to Lawful Permanent Residence,3
Adoption Information/Referrals,3
Adult High School Diploma Programs,3
Adult Residential Facility Licensing,3
Advocacy * Autism,3
Advocacy * Mental Health Issues,3
AIDS/HIV,3
AIDS/HIV Control,3
Alcohol Use Disorder Education/Prevention,3
Animal Foster Care/Rescue Volunteer Opportunities,3
Animal Surrender Services,3
Anxiety Disorders,3
Arts and Crafts Instruction,3
Asthma,3
Automobile Loans,3
Breast Examinations,3
Burning Bans,3
Business Consulting Services,3
Cataracts Screening,3
Centers for Independent Living,3
Child Care Complaints,3
Child Passenger Safety Seat Inspections,3
Christmas Festivals,3
Clinical Trials Research Projects,3
Comprehensive Job Assistance C * TANF Recipients,3
Conference/Convention Facilities,3
Correctional Shoes,3
Dental Associations,3
Disability/Rehabilitation Related Occupational Therapy,3
Disaster Related Clothing/Emergency Supplies,3
Divorce Counseling,3
Down Syndrome,3
Earned Income Credit Information,3
Eating Disorders,3
Educational Grants,3
Emergency Veterinary Services,3
Exercise Classes/Groups,3
Families of Military Personnel/Veterans,3
Family Crisis Shelters,3
Financial Assessment Tools,3
Food Facility Licensing,3
Food Sorting/Packing Volunteer Opportunities,3
Foster Home Licensing,3
Gay/Lesbian/Bisexual/Transgender Advocacy Groups,3
General Appliance Provision,3
General Mental Health Informat * Families/Friends of Mentally I,3
Government Consumer Protection Agencies,3
Health/Disability Related Support Groups,3
Hearing Aid Dispensers,3
Hearing Aid Evaluations,3
Hearing Screening,3
Hepatitis Testing,3
Home Insurance,3
Homeless People,3
Homeschooling,3
Hospital Beds,3
In Home Meal Preparation,3
Inmates,3
Intermediate Care Facilities,3
Interpreters/Translators,3
Job Search/Placement * Ex-Offenders,3
Job Search/Placement * TANF Recipients,3
Kidney Disease,3
Law Enforcement Complaints,3
Lawful Permanent Residents,3
Legal Issues Education/Information,3
Legal Representation * Refugees/Entrants/Asylees,3
Licensed Professional Counselor Complaints,3
Life Skills Education * Developmental Disabilities,3
Long Term Case/Care Management * Autism,3
Marriage Certificates,3
Mayors Offices,3
Medical Care Expense Assistanc * National Guard Personnel,3
Medical Social Work,3
Medicare Appeals/Complaints,3
Medicare Prescription Drug Plan Enrollment,3
Mental Health Facility Complaints,3
Mental Health Screening,3
Mobility Assistance Service Dogs,3
Motor Vehicle Registration Fee Payment Assistance,3
Multiple Sclerosis,3
Occupational/Professional Lice * Nurses/Nursing Support Personn,3
Office of the President of the United States,3
Online Connection Services,3
Outreach Programs,3
Parent Support Groups,3
Passport Cards,3
Patient/Family Housing,3
Physician/Surgeon Associations,3
Pothole/Road Repair,3
Prenatal Care * Pregnant Teens,3
Prescription Expense Assistanc * Cancer,3
Private Guardianship/Conservatorship Programs,3
Public Internet Access Sites,3
Public Utility Regulation/Deregulation,3
Runaway/Youth Shelters,3
School Complaints,3
Service Planning and Delivery Assistance,3
Sexual Assault/Incest Support Groups,3
Small Business Financing,3
Special Education Classes/Centers,3
Specialized Information and Re * AIDS/HIV,3
Street Signs,3
Stroke,3
Student Loans,3
Substance Use Disorder Intervention Programs,3
Supported Employment,3
Supported Living Services for  * Health Issues,3
Tax Preparer Complaints,3
Telecommunication Relay Services,3
Temporary Restraining Order Filing Offices,3
Tenant Readiness Education Programs,3
Transfer Devices,3
Travel Immunizations,3
Tuberculosis Control,3
Volunteer Program Recruitment Assistance,3
Walking Aids,3
Water Heaters,3
Water Resources Conservation,3
Welfare Rights Assistance,3
Welfare to Work Programs,3
Workers Compensation,3
Academic Counseling,2
Adoption Counseling and Support,2
Adult Day Health Programs,2
Adult Day Program Licensing,2
Adult Diversion * Court Ordered Individuals,2
Adult Sexual Assault Survivors,2
Adult Volunteers,2
Advance Medical Directives,2
Advocacy * Attention Deficit/Hyperactivit,2
Advocacy * Homelessness Issues,2
Advocacy * Older Adults,2
Airport Bus Services,2
Airports,2
Alcohol Use Disorder Counseling,2
Alcohol Use Disorder Day Treatment,2
Alcohol Use Disorder Issues,2
Alcohol Use Related Recovery Homes/Halfway Houses,2
Alternative Schools,2
Alzheimer's Disease,2
Animal Food/Supplies Donation Programs,2
Animal Lost and Found,2
Animal Rescue,2
Arthritis,2
Asperger's Syndrome,2
At Risk/Homeless Housing Relat * Veterans,2
Bad Check Reporting,2
Banking Services Information and Support,2
Behavior Modification,2
Bicycle Safety Education,2
Braille Instruction,2
Breastfeeding Support Programs,2
Buddy Program Volunteer Opport * Breast Cancer,2
Buddy Programs * Cancer,2
Building Condition Evaluation,2
Building Permits,2
Bullying Prevention,2
Bus Fare * Veterans,2
Campgrounds,2
Camping Gear,2
Campus Information and Visitor Services,2
Caregiver/Care Receiver Support Groups,2
Cell Phone Donation Programs,2
Certificates/Forms Assistance * Detainees,2
Chambers of Commerce,2
Charter Schools,2
Child Passenger Safety Education,2
Child Sexual Abuse Counseling,2
Children,2
Citizenship Education,2
Citizenship Education * Immigrants,2
Clerical Volunteer Opportunities,2
Clothes Dryers,2
Cognitive Behavioral Therapy,2
Colleges/Universities,2
Composting Facilities,2
Conduct Disorder,2
Consumer Law,2
Continuing Education,2
County Counsel,2
County Executive Offices,2
Deaf-Blindness,2
Dementia,2
Dementia Management,2
Developmental Disabilities,2
Diabetes Management Clinics,2
Disability Rights Groups * Reading Disorder,2
Disease Control Advisories,2
Disease/Disability Information * Alzheimer's Disease,2
Disease/Disability Information * Developmental Disabilities,2
Domestic Violence Issues,2
Driver License Fee Payment Ass * Veterans With Disabilities,2
Drug Courts,2
Drug Use Disorder Support Grou * Homeless Women,2
Educational Grants * Student Financial Aid Issues,2
Electronic Waste Recycling,2
Employment Issues,2
Errand Running/Shopping Assist * Homebound,2
Escort Programs * Adults With Disabilities * Health Issues,2
Eye Care Referrals,2
Families/Friends of People With Alzheimer's Disease,2
Family Counseling * At Risk Youth,2
Family Support Centers/Outreach,2
Family Violence Issues,2
Federal Correctional Facilities,2
Fetal Ultrasound,2
Fire Prevention Information,2
First Offender DUI Programs,2
Food Complaints,2
Food Pantries * AIDS/HIV,2
Food Safety Standards,2
Gardening/Landscaping Instruction,2
Gas Service Complaints,2
General Counseling Services * Refugees/Entrants/Asylees,2
General Medical Care,2
General Youth Employment Programs,2
Governmental Contracts/Grants Offices,2
Governor Offices,2
Group Counseling,2
Group Homes for Dependent Children,2
Hazardous Materials Removal Workers,2
Hazardous Waste Exchange,2
Health Statistics,2
Health/Disability Related Supp * Parkinson's Disease,2
Hepatitis,2
Holiday Related Volunteer Opportunities,2
Home Glucose Monitoring Systems,2
Home Rehabilitation Loans,2
Homelessness  Advocacy Groups * Housing First Organizational P,2
Hospital Bed Donation Programs,2
Household Goods,2
Housing Issues,2
HUD Approved Counseling Agencies,2
Human Trafficking Hotlines,2
Identity Theft Prevention,2
In Home Developmental Disabilities Habilitation Programs,2
Individual Counseling * Major Depression,2
Infant/Child CPR Instruction,2
Inpatients,2
Internet Based Crisis Intervention,2
Internet Courses,2
Internet Crime Reporting,2
